,Año,Trimestre,Provincia,Mbps (Media de bajada)
182,2022,1,Neuquén,43.05
183,2022,1,Río Negro,31.09
184,2022,1,Salta,36.71
185,2022,1,San Juan,11.99
186,2022,1,San Luis,20.95
187,2022,1,Santa Cruz,10.89
188,2022,1,Santa Fe,38.89
189,2022,1,Santiago Del Estero,14.5
190,2022,1,Tierra Del Fuego,10.73
191,2022,1,Tucumán,47.24
192,2021,4,Buenos Aires,60.21
193,2021,4,Capital Federal,82.95
194,2021,4,Catamarca,46.38
195,2021,4,Chaco,42.34
196,2021,4,Chubut,9.08
197,2021,4,Córdoba,46.36
198,2021,4,Corrientes,35.77
199,2021,4,Entre Ríos,33.32
200,2021,4,Formosa,28.76
201,2021,4,Jujuy,27.14
202,2021,4,La Pampa,13.85
203,2021,4,La Rioja,39.7
204,2021,4,Mendoza,22.23
205,2021,4,Misiones,38.9
206,2021,4,Neuquén,40.09
207,2021,4,Río Negro,27.2
208,2021,4,Salta,33.94
209,2021,4,San Juan,11.05
210,2021,4,San Luis,20.91
211,2021,4,Santa Cruz,8.99
212,2021,4,Santa Fe,36.02
213,2021,4,Santiago Del Estero,13.84
214,2021,4,Tierra Del Fuego,10.7
215,2021,4,Tucumán,45.15
216,2021,3,Buenos Aires,56.26
217,2021,3,Capital Federal,77.71
218,2021,3,Catamarca,43.43
219,2021,3,Chaco,39.11
220,2021,3,Chubut,8.18
221,2021,3,Córdoba,41.93
222,2021,3,Corrientes,32.17
223,2021,3,Entre Ríos,29.6
224,2021,3,Formosa,26.69
225,2021,3,Jujuy,25.98
226,2021,3,La Pampa,12.99
227,2021,3,La Rioja,38.87
228,2021,3,Mendoza,13.37
229,2021,3,Misiones,30.88
230,2021,3,Neuquén,38.34
231,2021,3,Río Negro,25.4
232,2021,3,Salta,31.21
233,2021,3,San Juan,7.04
234,2021,3,San Luis,21.7
235,2021,3,Santa Cruz,7.69
236,2021,3,Santa Fe,33.13
237,2021,3,Santiago Del Estero,13.35
238,2021,3,Tierra Del Fuego,9.52
239,2021,3,Tucumán,42.1
240,2021,2,Buenos Aires,52.76
241,2021,2,Capital Federal,72.75
242,2021,2,Catamarca,42.19
243,2021,2,Chaco,37.4
244,2021,2,Chubut,7.68
245,2021,2,Córdoba,39.59
246,2021,2,Corrientes,30.37
247,2021,2,Entre Ríos,27.62
248,2021,2,Formosa,23.97
249,2021,2,Jujuy,25.81
250,2021,2,La Pampa,12.28
251,2021,2,La Rioja,38.53
252,2021,2,Mendoza,13.47
253,2021,2,Misiones,28.68
254,2021,2,Neuquén,36.11
255,2021,2,Río Negro,23.75
256,2021,2,Salta,29.24
257,2021,2,San Juan,6.99
258,2021,2,San Luis,21.66
259,2021,2,Santa Cruz,7.63
260,2021,2,Santa Fe,30.7
261,2021,2,Santiago Del Estero,12.72
262,2021,2,Tierra Del Fuego,8.59
263,2021,2,Tucumán,40.31
264,2021,1,Buenos Aires,50.79
265,2021,1,Capital Federal,68.29
266,2021,1,Catamarca,39.97
267,2021,1,Chaco,33.63
268,2021,1,Chubut,7.53
269,2021,1,Córdoba,36.17
270,2021,1,Corrientes,25.99
271,2021,1,Entre Ríos,23.87
272,2021,1,Formosa,20.98
273,2021,1,Jujuy,26.78
274,2021,1,La Pampa,10.73
275,2021,1,La Rioja,12.7
276,2021,1,Mendoza,12.6
277,2021,1,Misiones,25.08
278,2021,1,Neuquén,34.24
279,2021,1,Río Negro,21.92
280,2021,1,Salta,27.32
281,2021,1,San Juan,6.91
282,2021,1,San Luis,21.59
283,2021,1,Santa Cruz,7.5
284,2021,1,Santa Fe,28.13
285,2021,1,Santiago Del Estero,11.58
286,2021,1,Tierra Del Fuego,8.73
287,2021,1,Tucumán,37.98
288,2020,4,Buenos Aires,50.01
289,2020,4,Capital Federal,67.33
290,2020,4,Catamarca,37.65
291,2020,4,Chaco,32.45
292,2020,4,Chubut,7.38
293,2020,4,Córdoba,35.12
294,2020,4,Corrientes,25.45
295,2020,4,Entre Ríos,24.05
296,2020,4,Formosa,19.7
297,2020,4,Jujuy,25.21
298,2020,4,La Pampa,9.88
299,2020,4,La Rioja,12.53
