,Año,Trimestre,Provincia,Accesos por cada 100 hab
936,2014,1,Buenos Aires,16.69
938,2014,1,Catamarca,6.18
939,2014,1,Chaco,5.55
940,2014,1,Chubut,12.7
941,2014,1,Córdoba,16.13
942,2014,1,Corrientes,5.89
943,2014,1,Entre Ríos,10.3
944,2014,1,Formosa,4.44
945,2014,1,Jujuy,4.72
946,2014,1,La Pampa,15.99
947,2014,1,La Rioja,4.35
948,2014,1,Mendoza,8.93
949,2014,1,Misiones,6.32
950,2014,1,Neuquén,14.88
951,2014,1,Río Negro,13.87
952,2014,1,Salta,6.98
953,2014,1,San Juan,7.05
954,2014,1,San Luis,2.68
955,2014,1,Santa Cruz,8.68
956,2014,1,Santa Fe,15.08
957,2014,1,Santiago Del Estero,4.06
958,2014,1,Tierra Del Fuego,19.1
959,2014,1,Tucumán,8.31
